========================================
POLYARB BOT v2 - PAPER TRADE
Bakiye: $300.0 | Esik: 3.0%
========================================
API OK: bcb0a8fa...
Binance baglaniyor...
Binance BAGLI!
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,001 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,995 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,995 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,995 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,995 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,995 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,993 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,993 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,992 | Up:0.00 Dn:1.00 | Edge:-49.9%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,986 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,986 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,986 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,986 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,986 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,986 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,982 | Up:0.00 Dn:1.00 | Edge:-49.9%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,978 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,978 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,978 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,977 | Up:0.00 Dn:1.00 | Edge:-49.9%
BTC:$66,973 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,973 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,973 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,973 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,972 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,972 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,972 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,973 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,974 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,974 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,974 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,977 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,977 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,977 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,978 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,978 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,978 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,980 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,982 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,979 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,984 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,992 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,992 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,992 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,992 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,992 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,992 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,993 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,993 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,993 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,993 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:50.1%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,997 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,998 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,998 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,000 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,001 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,005 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,006 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,007 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,005 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,005 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,005 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,005 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,003 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,000 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,000 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,000 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,000 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,000 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,000 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,998 | Up:0.00 Dn:1.00 | Edge:-49.9%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,996 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,995 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,994 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,993 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,990 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,989 | Up:0.00 Dn:1.00 | Edge:-50.0%
